Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148W,D_SOD-123,102.362,-72.772,90.0,bottom
D2,1N4148W,D_SOD-123,102.362,-91.822,90.0,bottom
D3,1N4148W,D_SOD-123,102.362,-110.872,90.0,bottom
D4,1N4148W,D_SOD-123,102.362,-129.922,90.0,bottom
D5,1N4148W,D_SOD-123,102.362,-148.972,90.0,bottom
D6,1N4148W,D_SOD-123,102.362,-168.022,90.0,bottom
D7,1N4148W,D_SOD-123,102.362,-187.072,90.0,bottom
D8,1N4148W,D_SOD-123,102.362,-206.122,90.0,bottom
D9,1N4148W,D_SOD-123,121.412,-72.772,90.0,bottom
D10,1N4148W,D_SOD-123,121.412,-91.822,90.0,bottom
D11,1N4148W,D_SOD-123,121.412,-110.872,90.0,bottom
D12,1N4148W,D_SOD-123,121.412,-129.922,90.0,bottom
D13,1N4148W,D_SOD-123,121.412,-148.972,90.0,bottom
D14,1N4148W,D_SOD-123,121.412,-168.022,90.0,bottom
D15,1N4148W,D_SOD-123,131.064,-187.072,90.0,bottom
D16,1N4148W,D_SOD-123,121.412,-206.122,90.0,bottom
D17,1N4148W,D_SOD-123,140.462,-72.772,90.0,bottom
D18,1N4148W,D_SOD-123,140.462,-91.822,90.0,bottom
D19,1N4148W,D_SOD-123,140.462,-110.872,90.0,bottom
D20,1N4148W,D_SOD-123,140.462,-129.922,90.0,bottom
D21,1N4148W,D_SOD-123,140.462,-148.972,90.0,bottom
D22,1N4148W,D_SOD-123,140.462,-168.022,90.0,bottom
D23,1N4148W,D_SOD-123,330.962,-72.772,90.0,bottom
D24,1N4148W,D_SOD-123,140.462,-206.122,90.0,bottom
D25,1N4148W,D_SOD-123,159.512,-72.772,90.0,bottom
D26,1N4148W,D_SOD-123,159.512,-91.822,90.0,bottom
D27,1N4148W,D_SOD-123,159.512,-110.872,90.0,bottom
D28,1N4148W,D_SOD-123,159.512,-129.922,90.0,bottom
D29,1N4148W,D_SOD-123,159.512,-148.972,90.0,bottom
D30,1N4148W,D_SOD-123,159.512,-168.022,90.0,bottom
D31,1N4148W,D_SOD-123,178.562,-187.072,90.0,bottom
D32,1N4148W,D_SOD-123,159.512,-206.122,90.0,bottom
D33,1N4148W,D_SOD-123,178.562,-72.772,90.0,bottom
D34,1N4148W,D_SOD-123,178.562,-91.822,90.0,bottom
D35,1N4148W,D_SOD-123,178.562,-110.872,90.0,bottom
D36,1N4148W,D_SOD-123,178.562,-129.922,90.0,bottom
D37,1N4148W,D_SOD-123,178.562,-148.972,90.0,bottom
D38,1N4148W,D_SOD-123,178.562,-168.022,90.0,bottom
D39,1N4148W,D_SOD-123,330.962,-91.822,90.0,bottom
D40,1N4148W,D_SOD-123,178.562,-206.122,90.0,bottom
D41,1N4148W,D_SOD-123,197.612,-72.772,90.0,bottom
D42,1N4148W,D_SOD-123,197.612,-91.822,90.0,bottom
D43,1N4148W,D_SOD-123,197.612,-110.872,90.0,bottom
D44,1N4148W,D_SOD-123,197.612,-129.922,90.0,bottom
D45,1N4148W,D_SOD-123,197.612,-148.972,90.0,bottom
D46,1N4148W,D_SOD-123,197.612,-168.022,90.0,bottom
D47,1N4148W,D_SOD-123,330.962,-110.872,90.0,bottom
D48,1N4148W,D_SOD-123,197.612,-205.868,90.0,bottom
D49,1N4148W,D_SOD-123,216.662,-72.772,90.0,bottom
D50,1N4148W,D_SOD-123,216.662,-91.822,90.0,bottom
D51,1N4148W,D_SOD-123,216.662,-110.872,90.0,bottom
D52,1N4148W,D_SOD-123,216.662,-129.922,90.0,bottom
D53,1N4148W,D_SOD-123,216.662,-148.972,90.0,bottom
D54,1N4148W,D_SOD-123,216.662,-168.022,90.0,bottom
D55,1N4148W,D_SOD-123,216.662,-187.072,90.0,bottom
D56,1N4148W,D_SOD-123,216.662,-206.122,90.0,bottom
D57,1N4148W,D_SOD-123,235.712,-72.772,90.0,bottom
D58,1N4148W,D_SOD-123,235.712,-91.822,90.0,bottom
D59,1N4148W,D_SOD-123,235.712,-110.872,90.0,bottom
D60,1N4148W,D_SOD-123,235.712,-129.922,90.0,bottom
D61,1N4148W,D_SOD-123,235.712,-148.972,90.0,bottom
D62,1N4148W,D_SOD-123,235.712,-168.022,90.0,bottom
D63,1N4148W,D_SOD-123,235.712,-187.072,90.0,bottom
D64,1N4148W,D_SOD-123,245.364,-206.122,90.0,bottom
D65,1N4148W,D_SOD-123,254.762,-72.772,90.0,bottom
D66,1N4148W,D_SOD-123,254.762,-91.822,90.0,bottom
D67,1N4148W,D_SOD-123,254.762,-110.872,90.0,bottom
D68,1N4148W,D_SOD-123,254.762,-129.922,90.0,bottom
D69,1N4148W,D_SOD-123,254.762,-148.972,90.0,bottom
D70,1N4148W,D_SOD-123,254.762,-168.022,90.0,bottom
D71,1N4148W,D_SOD-123,254.762,-187.072,90.0,bottom
D72,1N4148W,D_SOD-123,330.962,-129.922,90.0,bottom
D73,1N4148W,D_SOD-123,273.812,-72.772,90.0,bottom
D74,1N4148W,D_SOD-123,273.812,-91.822,90.0,bottom
D75,1N4148W,D_SOD-123,273.812,-110.872,90.0,bottom
D76,1N4148W,D_SOD-123,273.812,-129.922,90.0,bottom
D77,1N4148W,D_SOD-123,273.812,-148.972,90.0,bottom
D78,1N4148W,D_SOD-123,273.812,-168.022,90.0,bottom
D79,1N4148W,D_SOD-123,273.812,-187.072,90.0,bottom
D80,1N4148W,D_SOD-123,273.812,-206.122,90.0,bottom
D81,1N4148W,D_SOD-123,292.862,-72.772,90.0,bottom
D82,1N4148W,D_SOD-123,292.862,-91.822,90.0,bottom
D83,1N4148W,D_SOD-123,292.862,-110.872,90.0,bottom
